"STATEICP","COUNTYICP","AGE","RACE","RACED"\
5,70,20,1,100\
5,70,18,1,100\
5,70,46,1,100\
5,70,42,2,200\
5,70,10,2,200\
5,70,24,1,100\
5,70,56,6,610\
5,70,51,6,610\
5,70,30,1,100\
5,30,57,1,100\
5,30,58,1,100\
5,70,58,1,100\
5,70,59,1,100\
5,0,54,1,100\
5,0,63,5,500\
5,0,31,1,100\
5,0,28,1,100\
5,70,42,8,890\
5,70,21,8,890\
5,70,19,8,890\
5,70,1,8,890\
5,70,32,9,901\
5,70,41,1,100\
5,90,61,1,100\
5,90,62,1,100\
5,90,48,1,100\
5,90,44,1,100\
5,70,55,8,826\
5,70,62,8,826\
5,70,65,8,818\
5,70,35,1,100\
5,70,35,8,826\
5,70,79,1,100\
5,70,77,1,100\
5,30,83,1,100\
5,30,54,1,100\
5,30,55,1,100\
5,30,33,1,100\
5,30,33,1,100\
5,0,41,8,826\
5,0,72,8,826\
5,0,71,8,826\
5,0,49,1,100\
5,0,52,1,100\
5,0,16,1,100\
5,0,13,1,100\
5,0,13,1,100\
5,30,42,1,100\
5,90,66,1,100\
5,90,65,1,100\
5,90,88,1,100\
5,0,57,1,100\
5,0,58,1,100\
5,70,23,1,100\
5,70,22,1,100\
5,0,78,1,100\
5,0,77,1,100\
5,0,46,1,100\
5,0,15,8,826\
5,90,53,1,100\
5,70,20,1,100\
5,70,20,8,826\
5,70,60,9,907\
5,70,54,9,907\
5,70,23,1,100\
5,70,24,1,100\
5,70,56,1,100\
5,70,33,1,100\
5,70,33,8,813\
5,70,1,8,813\
5,70,58,2,200\
5,70,56,8,826\
5,70,22,1,100\
5,70,28,1,100\
5,70,65,1,100\
5,70,79,1,100\
5,30,34,1,100\
5,30,32,1,100\
5,70,44,1,100\
5,0,41,1,100\
5,0,18,1,100\
5,0,68,1,100\
5,0,30,1,100\
5,70,69,1,100\
5,70,74,1,100\
5,0,39,1,100\
5,0,43,1,100\
5,0,14,1,100\
5,0,11,1,100\
5,70,34,1,100\
5,70,35,1,100\
5,70,12,1,100\
5,70,1,1,100\
5,70,23,4,400\
5,0,78,1,100\
5,0,73,1,100\
5,70,53,9,904\
5,70,73,9,904\
5,70,70,1,100\
5,30,69,1,100\
5,30,76,1,100\
5,70,37,1,100\
5,70,37,1,100\
5,70,19,1,100\
5,70,6,1,100\
5,70,61,1,100\
5,90,52,1,100\
5,90,52,1,100\
5,90,18,1,100\
5,70,85,1,100\
5,70,67,1,100\
5,70,64,1,100\
5,90,70,1,100\
5,70,65,8,826\
5,70,46,8,826\
5,90,25,1,100\
5,90,26,1,100\
5,70,49,1,100\
5,70,48,1,100\
5,70,17,1,100\
5,70,14,1,100\
5,70,77,1,100\
5,70,77,1,100\
5,70,70,2,200\
5,0,54,1,100\
5,0,53,1,100\
5,70,61,1,100\
5,70,57,1,100\
5,70,63,1,100\
5,70,67,1,100\
5,70,63,1,100\
5,70,63,1,100\
5,70,60,1,100\
5,0,34,8,826\
5,0,34,1,100\
5,0,3,8,826\
5,0,0,8,826\
5,70,61,1,100\
5,90,43,8,826\
5,90,45,8,826\
5,90,14,8,826\
5,90,13,8,826\
5,30,79,1,100\
5,30,80,1,100\
5,70,67,1,100\
5,70,65,1,100\
5,70,53,1,100\
5,70,80,1,100\
5,70,60,1,100\
5,90,74,1,100\
5,90,64,1,100\
5,70,26,1,100\
5,70,46,1,100\
5,70,58,2,200\
5,70,26,2,200\
5,70,71,1,100\
5,70,73,1,100\
5,70,40,1,100\
5,70,16,1,100\
5,70,15,1,100\
5,70,69,1,100\
5,70,67,1,100\
5,70,32,1,100\
5,0,56,1,100\
5,0,55,1,100\
5,0,26,1,100\
5,0,23,1,100\
5,70,74,1,100\
5,30,60,1,100\
5,70,32,1,100\
5,90,72,1,100\
5,90,74,1,100\
5,30,45,2,200\
5,30,45,8,826\
5,30,19,8,801\
5,30,14,8,801\
5,30,16,8,801\
5,30,65,2,200\
5,30,5,8,801\
5,70,46,7,700\
5,70,64,1,100\
5,70,35,8,826\
5,70,69,1,100\
5,70,69,1,100\
5,70,31,1,100\
5,70,32,1,100\
5,30,28,1,100\
5,30,28,1,100\
5,30,6,1,100\
5,30,52,1,100\
5,70,55,8,826\
5,70,42,8,826\
5,70,12,8,826\
5,70,10,8,826\
5,70,62,1,100\
5,70,33,1,100\
5,70,81,1,100\
5,70,79,1,100\
5,70,27,1,100\
5,90,40,1,100\
5,90,40,1,100\
5,90,9,1,100\
5,90,7,1,100\
5,90,4,1,100\
5,90,2,1,100\
5,90,55,1,100\
5,90,54,1,100\
5,90,20,1,100\
5,90,18,1,100\
5,30,59,1,100\
5,30,64,1,100\
5,70,42,8,845\
5,70,51,2,200\
5,70,18,8,842\
5,70,54,7,700\
5,70,61,8,826\
5,70,29,8,826\
5,30,59,1,100\
5,30,59,1,100\
5,70,46,1,100\
5,70,47,1,100\
5,70,14,8,826\
5,70,11,8,826\
5,90,66,1,100\
5,90,66,1,100\
5,70,23,1,100\
5,70,24,1,100\
5,70,24,1,100\
5,30,65,1,100\
5,70,32,1,100\
5,70,28,1,100\
5,70,59,2,200\
5,70,22,2,200\
5,70,66,1,100\
5,70,72,1,100\
5,70,36,1,100\
5,70,40,1,100\
5,70,55,8,826\
5,70,53,7,700\
5,70,22,7,700\
5,70,17,7,700\
5,90,64,1,100\
5,90,63,1,100\
5,30,64,1,100\
5,30,66,1,100\
5,90,46,1,100\
5,90,49,1,100\
5,90,11,1,100\
5,30,78,1,100\
5,30,75,1,100\
5,70,63,1,100\
5,70,66,1,100\
5,70,66,1,100\
5,30,81,1,100\
5,30,66,1,100\
5,30,71,1,100\
5,30,60,1,100\
5,30,30,1,100\
5,30,32,1,100\
5,30,62,1,100\
5,30,62,1,100\
5,30,22,8,826\
5,30,22,8,826\
5,30,19,8,826\
5,90,74,1,100\
5,90,48,1,100\
5,90,62,1,100\
5,0,60,1,100\
5,0,61,1,100\
5,0,15,4,400\
5,30,67,1,100\
5,30,96,1,100\
5,70,50,7,700\
5,70,21,7,700\
5,70,34,1,100\
5,90,67,1,100\
5,90,67,1,100\
5,70,56,1,100\
5,70,48,1,100\
5,70,12,1,100\
5,70,71,1,100\
5,70,68,1,100\
5,70,41,1,100\
5,70,74,1,100\
5,70,58,1,100\
5,90,78,8,826\
5,70,57,1,100\
5,30,56,1,100\
5,30,51,1,100\
5,30,21,1,100\
5,30,0,1,100\
5,70,55,1,100\
5,70,54,1,100\
5,70,18,7,700\
5,70,18,7,700\
5,70,13,1,100\
5,70,48,8,826\
5,70,49,8,826\
5,70,14,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,70,80,2,200\
5,30,57,1,100\
5,30,51,1,100\
5,70,41,1,100\
5,70,56,1,100\
5,70,67,1,100\
5,70,56,1,100\
5,70,68,1,100\
5,30,40,1,100\
5,30,39,1,100\
5,30,5,1,100\
5,30,3,1,100\
5,30,0,1,100\
5,90,67,1,100\
5,90,67,1,100\
5,90,35,1,100\
5,0,88,1,100\
5,0,65,1,100\
5,70,59,1,100\
5,70,53,1,100\
5,70,63,1,100\
5,70,64,1,100\
5,70,45,1,100\
5,70,65,6,660\
5,70,50,6,660\
5,90,52,1,100\
5,90,51,1,100\
5,90,17,1,100\
5,90,15,1,100\
5,90,13,1,100\
5,70,24,1,100\
5,70,65,1,100\
5,30,96,1,100\
5,70,40,2,200\
5,70,18,8,801\
5,70,49,1,100\
5,70,20,1,100\
5,70,42,1,100\
5,70,42,1,100\
5,70,11,1,100\
5,70,8,1,100\
5,30,38,1,100\
5,30,3,1,100\
5,70,25,1,100\
5,70,25,1,100\
5,70,26,1,100\
5,30,24,1,100\
5,30,0,1,100\
5,30,56,1,100\
5,30,49,1,100\
5,30,20,1,100\
5,30,20,1,100\
5,70,50,1,100\
5,70,51,1,100\
5,70,20,1,100\
5,70,77,1,100\
5,70,56,1,100\
5,70,56,1,100\
5,70,63,1,100\
5,70,61,1,100\
5,0,49,1,100\
5,0,46,1,100\
5,30,58,1,100\
5,30,58,1,100\
5,70,43,1,100\
5,70,17,1,100\
5,0,60,1,100\
5,70,30,7,700\
5,70,78,7,700\
5,0,28,1,100\
5,0,33,1,100\
5,70,48,1,100\
5,70,50,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,70,90,1,100\
5,70,89,1,100\
5,70,53,1,100\
5,70,54,1,100\
5,90,78,1,100\
5,90,77,1,100\
5,90,77,1,100\
5,90,78,1,100\
5,70,51,1,100\
5,70,54,1,100\
5,70,33,1,100\
5,70,33,1,100\
5,30,68,1,100\
5,70,63,1,100\
5,70,73,8,826\
5,70,46,1,100\
5,70,44,1,100\
5,70,54,1,100\
5,70,54,1,100\
5,70,56,1,100\
5,70,82,1,100\
5,70,21,4,400\
5,70,22,1,100\
5,70,21,1,100\
5,70,42,8,826\
5,70,44,8,826\
5,70,3,8,826\
5,90,57,1,100\
5,90,69,1,100\
5,70,55,1,100\
5,70,60,1,100\
5,70,89,1,100\
5,70,86,1,100\
5,70,65,1,100\
5,70,69,1,100\
5,70,50,1,100\
5,70,18,1,100\
5,70,76,1,100\
5,70,82,1,100\
5,90,57,1,100\
5,90,57,8,826\
5,70,70,1,100\
5,70,68,1,100\
5,70,27,1,100\
5,70,26,1,100\
5,90,63,1,100\
5,90,68,1,100\
5,0,63,1,100\
5,0,65,1,100\
5,70,68,2,200\
5,70,67,2,200\
5,70,58,1,100\
5,70,24,7,700\
5,70,96,7,700\
5,90,74,1,100\
5,90,64,1,100\
5,70,59,6,610\
5,70,55,6,610\
5,0,26,1,100\
5,0,31,1,100\
5,90,66,6,600\
5,90,66,6,600\
5,90,34,6,600\
5,70,35,1,100\
5,70,40,1,100\
5,70,3,1,100\
5,70,3,1,100\
5,30,65,1,100\
5,30,65,1,100\
5,90,96,1,100\
5,90,86,1,100\
5,70,62,1,100\
5,70,29,1,100\
5,70,25,1,100\
5,70,53,1,100\
5,70,56,1,100\
5,70,78,1,100\
5,30,63,1,100\
5,0,42,8,826\
5,0,43,8,826\
5,0,7,8,826\
5,0,5,8,826\
5,0,1,8,826\
5,70,40,1,100\
5,70,44,1,100\
5,70,11,1,100\
5,70,9,1,100\
5,70,63,1,100\
5,70,64,1,100\
5,70,39,1,100\
5,70,37,1,100\
5,70,45,6,610\
5,70,51,6,610\
5,70,18,6,610\
5,70,14,6,610\
5,70,22,1,100\
5,30,28,1,100\
5,70,61,1,100\
5,70,60,1,100\
5,70,30,1,100\
5,90,60,1,100\
5,90,52,1,100\
5,30,75,1,100\
5,30,48,1,100\
5,90,51,8,802\
5,70,55,1,100\
5,70,14,1,100\
5,30,66,1,100\
5,30,64,1,100\
5,30,48,1,100\
5,30,48,1,100\
5,30,18,1,100\
5,30,16,1,100\
5,70,64,1,100\
5,70,60,1,100\
5,70,49,1,100\
5,70,48,1,100\
5,70,28,1,100\
5,70,4,1,100\
5,70,91,1,100\
5,70,42,1,100\
5,70,34,1,100\
5,70,20,1,100\
5,70,37,7,700\
